,Year,DistrictNew,Code,LocationNew,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
434,2018,CharlottenburgWilmersdorf,40412,Schmargendorf,4,1,60,10,28,567,36,149,54,50,5,2,91,17,18,192
435,2013,FriedrichshainKreuzberg,20407,KarlMarxAlleeSd,87,62,492,144,107,2844,53,304,267,68,15,3,530,117,219,1172
436,2019,Pankow,30307,BlankenburgHeinersdorfMrchenland,6,4,107,22,48,702,23,115,151,45,9,4,181,40,24,230
437,2017,Reinickendorf,123043,West3BorsigwaldeFreieScholle,6,3,110,24,38,520,11,101,74,41,8,3,132,20,24,266
438,2014,SteglitzZehlendorf,60204,Ostpreuendamm,15,7,199,38,85,1238,63,289,222,130,12,5,309,33,46,560
439,2017,TempelhofSchneberg,70404,Tempelhof,57,24,668,125,269,3766,107,876,435,106,60,15,696,186,241,1442
440,2014,TempelhofSchneberg,70707,Lichtenrade,28,14,304,59,138,1146,74,330,121,126,23,5,389,55,69,726
441,2018,Mitte,10441,Parkviertel,55,26,754,183,243,2690,62,442,363,88,30,9,562,113,125,1511
442,2013,Pankow,30612,PrenzlauerBergNord,21,6,202,43,65,1914,88,216,452,52,14,3,254,61,52,595
443,2017,TreptowKpenick,90208,KllnischeVorstadtSpindlersfeld,5,4,120,25,31,313,13,92,52,9,2,0,113,23,22,239
444,2014,SteglitzZehlendorf,60407,ZehlendorfSdwest,18,14,137,25,67,1264,69,310,143,159,14,3,315,103,23,394
445,2016,Pankow,30202,BlankenfeldeNiederschnhausen,7,0,151,27,61,784,25,139,132,91,15,9,174,35,27,373
446,2017,CharlottenburgWilmersdorf,40310,Halensee,13,7,92,22,46,1017,38,185,124,42,4,3,126,32,11,341
447,2019,TreptowKpenick,90208,KllnischeVorstadtSpindlersfeld,1,1,130,31,36,360,17,52,80,13,12,4,151,33,24,259
448,2015,Pankow,30101,Buch,9,5,175,47,76,876,39,184,146,24,22,4,251,36,30,423
449,2016,CharlottenburgWilmersdorf,40412,Schmargendorf,7,2,84,15,34,657,32,193,63,62,7,1,78,6,8,209
450,2015,CharlottenburgWilmersdorf,40412,Schmargendorf,9,6,66,10,25,716,49,193,102,76,2,2,88,7,7,201
451,2014,CharlottenburgWilmersdorf,40304,SchloCharlottenburg,30,8,242,53,101,1205,23,165,231,88,6,3,233,67,38,643
